                   Logit Regression Results                   
Dep. Variable:,frisked         ,  No. Observations:  , 45787  
Model:        ,Logit           ,  Df Residuals:      , 45767  
Method:       ,MLE             ,  Df Model:          ,    19  
Date:         ,Tue, 01 Dec 2015,  Pseudo R-squ.:     ,0.09091 
Time:         ,22:44:41        ,  Log-Likelihood:    , -26606.
converged:    ,True            ,  LL-Null:           , -29267.
              ,                ,  LLR p-value:       , 0.000  
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,    0.2369,    0.025,    9.621, 0.000,    0.189     0.285
cs_objcs ,   -0.1077,    0.056,   -1.936, 0.053,   -0.217     0.001
cs_descr ,    0.3979,    0.027,   14.723, 0.000,    0.345     0.451
cs_casng ,    0.1002,    0.028,    3.611, 0.000,    0.046     0.155
cs_lkout ,   -0.1140,    0.032,   -3.537, 0.000,   -0.177    -0.051
cs_cloth ,    0.4380,    0.057,    7.699, 0.000,    0.326     0.549
cs_drgtr ,   -0.1488,    0.040,   -3.716, 0.000,   -0.227    -0.070
cs_furtv ,    0.8208,    0.024,   34.555, 0.000,    0.774     0.867
cs_vcrim ,    0.7988,    0.041,   19.624, 0.000,    0.719     0.879
cs_bulge ,    2.0127,    0.071,   28.474, 0.000,    1.874     2.151
cs_other ,   -0.1636,    0.026,   -6.406, 0.000,   -0.214    -0.114
race_A   ,   -0.1641,    0.092,   -1.784, 0.074,   -0.344     0.016
race_B   ,    0.2855,    0.082,    3.493, 0.000,    0.125     0.446
race_I   ,    0.0747,    0.176,    0.424, 0.671,   -0.270     0.420
race_P   ,    0.2378,    0.091,    2.604, 0.009,    0.059     0.417
race_Q   ,    0.0929,    0.084,    1.112, 0.266,   -0.071     0.257
race_U   ,    0.0766,    0.150,    0.511, 0.609,   -0.217     0.370
race_W   ,   -0.2017,    0.086,   -2.359, 0.018,   -0.369    -0.034
sex_0    ,   -1.1209,    0.042,  -26.811, 0.000,   -1.203    -1.039
intercept,    0.0110,    0.084,    0.132, 0.895,   -0.153     0.175
