                   Logit Regression Results                   
Dep. Variable:,frisked         ,  No. Observations:  , 45787  
Model:        ,Logit           ,  Df Residuals:      , 45697  
Method:       ,MLE             ,  Df Model:          ,    89  
Date:         ,Tue, 01 Dec 2015,  Pseudo R-squ.:     ,0.1301  
Time:         ,22:44:07        ,  Log-Likelihood:    , -25458.
converged:    ,True            ,  LL-Null:           , -29267.
              ,                ,  LLR p-value:       , 0.000  
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,    0.2340,    0.026,    8.839, 0.000,    0.182     0.286
cs_objcs ,   -0.0150,    0.058,   -0.261, 0.794,   -0.128     0.098
cs_descr ,    0.4567,    0.028,   16.137, 0.000,    0.401     0.512
cs_casng ,    0.1460,    0.029,    5.019, 0.000,    0.089     0.203
cs_lkout ,   -0.1069,    0.033,   -3.202, 0.001,   -0.172    -0.041
cs_cloth ,    0.4269,    0.058,    7.303, 0.000,    0.312     0.541
cs_drgtr ,   -0.1141,    0.042,   -2.728, 0.006,   -0.196    -0.032
cs_furtv ,    0.8698,    0.025,   34.937, 0.000,    0.821     0.919
cs_vcrim ,    0.7731,    0.042,   18.464, 0.000,    0.691     0.855
cs_bulge ,    1.9748,    0.072,   27.312, 0.000,    1.833     2.116
cs_other ,   -0.1642,    0.027,   -6.161, 0.000,   -0.216    -0.112
race_B   ,    0.1534,    0.025,    6.211, 0.000,    0.105     0.202
sex_0    ,   -1.1029,    0.043,  -25.563, 0.000,   -1.187    -1.018
pct_1    ,   -0.1566,    0.269,   -0.583, 0.560,   -0.683     0.370
pct_5    ,    0.4050,    0.176,    2.305, 0.021,    0.061     0.749
pct_6    ,    0.6647,    0.236,    2.814, 0.005,    0.202     1.128
pct_7    ,    1.6078,    0.175,    9.174, 0.000,    1.264     1.951
pct_9    ,    1.1188,    0.150,    7.470, 0.000,    0.825     1.412
pct_10   ,    0.9603,    0.214,    4.492, 0.000,    0.541     1.379
pct_13   ,    1.1749,    0.158,    7.425, 0.000,    0.865     1.485
pct_14   ,    0.7005,    0.151,    4.633, 0.000,    0.404     0.997
pct_17   ,    0.7035,    0.212,    3.320, 0.001,    0.288     1.119
pct_18   ,    0.3925,    0.216,    1.817, 0.069,   -0.031     0.816
pct_19   ,    1.0371,    0.162,    6.404, 0.000,    0.720     1.355
pct_20   ,    0.3585,    0.174,    2.058, 0.040,    0.017     0.700
pct_22   ,   -0.0361,    0.261,   -0.138, 0.890,   -0.547     0.475
pct_23   ,    1.4322,    0.150,    9.569, 0.000,    1.139     1.726
pct_24   ,    0.5936,    0.182,    3.260, 0.001,    0.237     0.950
pct_25   ,    1.5093,    0.149,   10.162, 0.000,    1.218     1.800
pct_26   ,    0.9432,    0.199,    4.742, 0.000,    0.553     1.333
pct_28   ,    1.3002,    0.183,    7.089, 0.000,    0.941     1.660
pct_30   ,    1.5458,    0.184,    8.408, 0.000,    1.185     1.906
pct_32   ,    1.4564,    0.171,    8.522, 0.000,    1.121     1.791
pct_33   ,    1.2570,    0.177,    7.093, 0.000,    0.910     1.604
pct_34   ,    1.5939,    0.170,    9.373, 0.000,    1.261     1.927
pct_40   ,    0.4341,    0.142,    3.065, 0.002,    0.157     0.712
pct_41   ,    2.2096,    0.152,   14.584, 0.000,    1.913     2.507
pct_42   ,    1.1367,    0.149,    7.619, 0.000,    0.844     1.429
