                    Logit Regression Results                   
Dep. Variable:,frisked         ,  No. Observations:  ,  1486   
Model:        ,Logit           ,  Df Residuals:      ,  1467   
Method:       ,MLE             ,  Df Model:          ,    18   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.1704   
Time:         ,14:01:19        ,  Log-Likelihood:    , -650.71 
converged:    ,True            ,  LL-Null:           , -784.35 
              ,                ,  LLR p-value:       ,2.451e-46
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,    0.4060,    0.163,    2.484, 0.013,    0.086     0.726
cs_objcs ,   -0.8718,    0.456,   -1.913, 0.056,   -1.765     0.022
cs_descr ,    0.7050,    0.210,    3.365, 0.001,    0.294     1.116
cs_casng ,    0.2016,    0.200,    1.007, 0.314,   -0.191     0.594
cs_lkout ,    0.4178,    0.229,    1.821, 0.069,   -0.032     0.867
cs_cloth ,    1.0276,    0.770,    1.334, 0.182,   -0.482     2.538
cs_drgtr ,    1.1387,    0.315,    3.616, 0.000,    0.522     1.756
cs_furtv ,    1.1007,    0.153,    7.180, 0.000,    0.800     1.401
cs_vcrim ,    0.5142,    0.273,    1.885, 0.059,   -0.021     1.049
cs_bulge ,    1.6004,    0.220,    7.273, 0.000,    1.169     2.032
cs_other ,   -0.4569,    0.181,   -2.521, 0.012,   -0.812    -0.102
race_A   ,   -0.5253, 7.02e+06,-7.48e-08, 1.000,-1.38e+07  1.38e+07
race_B   ,    0.0477, 7.02e+06,  6.8e-09, 1.000,-1.38e+07  1.38e+07
race_I   ,    0.6149, 7.02e+06, 8.76e-08, 1.000,-1.38e+07  1.38e+07
race_P   ,    0.3147, 7.02e+06, 4.48e-08, 1.000,-1.38e+07  1.38e+07
race_Q   ,   -0.2562, 7.02e+06,-3.65e-08, 1.000,-1.38e+07  1.38e+07
race_U   ,    0.4805, 7.02e+06, 6.84e-08, 1.000,-1.38e+07  1.38e+07
race_W   ,   -0.6130, 7.02e+06,-8.73e-08, 1.000,-1.38e+07  1.38e+07
sex_0    ,   -1.0472,    0.386,   -2.715, 0.007,   -1.803    -0.291
intercept,    0.0633, 7.02e+06, 9.01e-09, 1.000,-1.38e+07  1.38e+07
