                    Logit Regression Results                   
Dep. Variable:,frisked         ,  No. Observations:  ,   325   
Model:        ,Logit           ,  Df Residuals:      ,   305   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.1713   
Time:         ,14:01:11        ,  Log-Likelihood:    , -184.33 
converged:    ,True            ,  LL-Null:           , -222.42 
              ,                ,  LLR p-value:       ,8.390e-09
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,    0.6773,    0.316,    2.142, 0.032,    0.057     1.297
cs_objcs ,   -1.7322,    0.689,   -2.515, 0.012,   -3.082    -0.382
cs_descr ,    1.4318,    0.342,    4.191, 0.000,    0.762     2.101
cs_casng ,   -0.3016,    0.389,   -0.775, 0.438,   -1.064     0.461
cs_lkout ,    0.0041,    0.519,    0.008, 0.994,   -1.014     1.022
cs_cloth ,    0.9879,    0.633,    1.561, 0.119,   -0.252     2.228
cs_drgtr ,    1.1703,    0.566,    2.067, 0.039,    0.061     2.280
cs_furtv ,    0.4268,    0.324,    1.318, 0.188,   -0.208     1.062
cs_vcrim ,    0.8125,    0.461,    1.761, 0.078,   -0.092     1.717
cs_bulge ,    1.5248,    0.726,    2.100, 0.036,    0.102     2.948
cs_other ,    0.8419,    0.333,    2.530, 0.011,    0.190     1.494
race_A   ,   -2.4386,    1.704,   -1.431, 0.152,   -5.779     0.902
race_B   ,   -1.7149,    1.649,   -1.040, 0.298,   -4.946     1.516
race_I   ,   -0.5915,    1.887,   -0.313, 0.754,   -4.290     3.107
race_P   ,   -1.4915,    1.735,   -0.860, 0.390,   -4.891     1.908
race_Q   ,   -1.4281,    1.684,   -0.848, 0.396,   -4.728     1.872
race_U   ,  -56.4274, 1.35e+12,-4.19e-11, 1.000,-2.64e+12  2.64e+12
race_W   ,   -2.7830,    1.766,   -1.576, 0.115,   -6.244     0.678
sex_0    ,   -0.6389,    0.414,   -1.543, 0.123,   -1.451     0.173
intercept,    0.8672,    1.662,    0.522, 0.602,   -2.391     4.126
