                    Logit Regression Results                   
Dep. Variable:,frisked         ,  No. Observations:  ,  1366   
Model:        ,Logit           ,  Df Residuals:      ,  1346   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.07739  
Time:         ,14:01:18        ,  Log-Likelihood:    , -803.89 
converged:    ,False           ,  LL-Null:           , -871.32 
              ,                ,  LLR p-value:       ,1.749e-19
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,    0.0928,    0.127,    0.729, 0.466,   -0.157     0.342
cs_objcs ,   -0.0146,    0.385,   -0.038, 0.970,   -0.769     0.739
cs_descr ,    0.9197,    0.190,    4.844, 0.000,    0.548     1.292
cs_casng ,   -0.2472,    0.152,   -1.622, 0.105,   -0.546     0.052
cs_lkout ,    0.1052,    0.138,    0.761, 0.447,   -0.166     0.376
cs_cloth ,    0.6534,    0.322,    2.032, 0.042,    0.023     1.284
cs_drgtr ,   -0.2241,    0.393,   -0.571, 0.568,   -0.994     0.546
cs_furtv ,    0.6792,    0.129,    5.248, 0.000,    0.426     0.933
cs_vcrim ,    0.6149,    0.251,    2.446, 0.014,    0.122     1.108
cs_bulge ,    1.9798,    0.611,    3.241, 0.001,    0.783     3.177
cs_other ,   -0.2176,    0.184,   -1.180, 0.238,   -0.579     0.144
race_A   ,    0.8428,    0.421,    2.002, 0.045,    0.018     1.668
race_B   ,    0.7804,    0.407,    1.919, 0.055,   -0.017     1.578
race_I   ,    1.4729,    0.576,    2.558, 0.011,    0.344     2.602
race_P   ,    0.8216,    0.529,    1.554, 0.120,   -0.215     1.858
race_Q   ,    0.5561,    0.414,    1.345, 0.179,   -0.254     1.367
race_U   ,   22.2287, 3.57e+04,    0.001, 1.000,-6.99e+04  6.99e+04
race_W   ,    0.5997,    0.416,    1.442, 0.149,   -0.215     1.415
sex_0    ,   -1.7236,    0.344,   -5.010, 0.000,   -2.398    -1.049
intercept,   -0.4615,    0.424,   -1.089, 0.276,   -1.292     0.369
