                    Logit Regression Results                   
Dep. Variable:,frisked         ,  No. Observations:  ,  1018   
Model:        ,Logit           ,  Df Residuals:      ,   998   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.1071   
Time:         ,14:01:18        ,  Log-Likelihood:    , -523.05 
converged:    ,False           ,  LL-Null:           , -585.78 
              ,                ,  LLR p-value:       ,1.041e-17
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,    0.3964,    0.324,    1.222, 0.222,   -0.239     1.032
cs_objcs ,   -0.8610,    0.375,   -2.295, 0.022,   -1.596    -0.126
cs_descr ,    0.0674,    0.185,    0.364, 0.716,   -0.296     0.431
cs_casng ,    0.1687,    0.205,    0.823, 0.411,   -0.233     0.571
cs_lkout ,   -0.6031,    0.243,   -2.484, 0.013,   -1.079    -0.127
cs_cloth ,    1.4276,    0.762,    1.874, 0.061,   -0.065     2.920
cs_drgtr ,   -1.3868,    0.377,   -3.678, 0.000,   -2.126    -0.648
cs_furtv ,    0.9155,    0.198,    4.613, 0.000,    0.526     1.304
cs_vcrim ,    0.3712,    0.242,    1.537, 0.124,   -0.102     0.845
cs_bulge ,    0.9606,    0.516,    1.861, 0.063,   -0.051     1.972
cs_other ,   -0.5935,    0.175,   -3.400, 0.001,   -0.936    -0.251
race_A   ,  -20.5214, 2.43e+04,   -0.001, 0.999,-4.76e+04  4.76e+04
race_B   ,  -20.5138, 2.43e+04,   -0.001, 0.999,-4.76e+04  4.76e+04
race_I   ,  -19.2722, 2.43e+04,   -0.001, 0.999,-4.76e+04  4.76e+04
race_P   ,  -20.9761, 2.43e+04,   -0.001, 0.999,-4.76e+04  4.76e+04
race_Q   ,  -20.2033, 2.43e+04,   -0.001, 0.999,-4.76e+04  4.76e+04
race_U   ,  -19.9747, 2.43e+04,   -0.001, 0.999,-4.76e+04  4.76e+04
race_W   ,  -20.5940, 2.43e+04,   -0.001, 0.999,-4.76e+04  4.76e+04
sex_0    ,   -1.1830,    0.308,   -3.835, 0.000,   -1.788    -0.578
intercept,   21.4745, 2.43e+04,    0.001, 0.999,-4.76e+04  4.76e+04
