                    Logit Regression Results                   
Dep. Variable:,frisked         ,  No. Observations:  ,   719   
Model:        ,Logit           ,  Df Residuals:      ,   699   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.09056  
Time:         ,14:01:16        ,  Log-Likelihood:    , -400.43 
converged:    ,False           ,  LL-Null:           , -440.31 
              ,                ,  LLR p-value:       ,2.057e-09
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,    0.0653,    0.248,    0.264, 0.792,   -0.420     0.551
cs_objcs ,   -0.1990,    0.540,   -0.369, 0.712,   -1.257     0.859
cs_descr ,    0.4160,    0.226,    1.839, 0.066,   -0.027     0.859
cs_casng ,    0.1694,    0.314,    0.540, 0.589,   -0.446     0.784
cs_lkout ,   -0.1282,    0.413,   -0.310, 0.756,   -0.938     0.682
cs_cloth ,   -0.4365,    0.413,   -1.057, 0.290,   -1.246     0.373
cs_drgtr ,   -0.0150,    0.358,   -0.042, 0.967,   -0.717     0.687
cs_furtv ,    0.8555,    0.210,    4.072, 0.000,    0.444     1.267
cs_vcrim ,    0.8551,    0.385,    2.219, 0.027,    0.100     1.610
cs_bulge ,    1.2319,    0.527,    2.338, 0.019,    0.199     2.264
cs_other ,   -0.0111,    0.215,   -0.052, 0.959,   -0.432     0.409
race_A   ,  -55.3210, 6.77e+11,-8.17e-11, 1.000,-1.33e+12  1.33e+12
race_B   ,    0.3782,    0.402,    0.941, 0.347,   -0.410     1.166
race_I   ,   26.5333, 7.83e+05, 3.39e-05, 1.000,-1.53e+06  1.53e+06
race_P   ,    0.1843,    0.489,    0.377, 0.706,   -0.774     1.142
race_Q   ,    0.3490,    0.415,    0.841, 0.401,   -0.465     1.163
race_U   ,   -1.6746,    1.522,   -1.101, 0.271,   -4.657     1.308
race_W   ,   -0.6834,    0.549,   -1.244, 0.213,   -1.760     0.393
sex_0    ,   -1.0588,    0.294,   -3.605, 0.000,   -1.634    -0.483
intercept,    0.1501,    0.445,    0.337, 0.736,   -0.722     1.022
