                    Logit Regression Results                   
Dep. Variable:,frisked         ,  No. Observations:  ,   691   
Model:        ,Logit           ,  Df Residuals:      ,   671   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.1936   
Time:         ,14:01:16        ,  Log-Likelihood:    , -338.11 
converged:    ,False           ,  LL-Null:           , -419.27 
              ,                ,  LLR p-value:       ,8.928e-25
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,    0.4381,    0.278,    1.575, 0.115,   -0.107     0.983
cs_objcs ,    0.2882,    0.505,    0.570, 0.568,   -0.702     1.279
cs_descr ,    0.7528,    0.247,    3.053, 0.002,    0.270     1.236
cs_casng ,    0.3082,    0.274,    1.126, 0.260,   -0.228     0.845
cs_lkout ,    0.3274,    0.346,    0.945, 0.344,   -0.351     1.006
cs_cloth ,    0.3753,    0.544,    0.690, 0.490,   -0.691     1.442
cs_drgtr ,   -0.1671,    0.322,   -0.519, 0.604,   -0.799     0.465
cs_furtv ,    1.2923,    0.218,    5.926, 0.000,    0.865     1.720
cs_vcrim ,    0.4767,    0.506,    0.942, 0.346,   -0.515     1.468
cs_bulge ,    2.6823,    0.759,    3.533, 0.000,    1.194     4.170
cs_other ,    0.0258,    0.216,    0.119, 0.905,   -0.398     0.450
race_A   ,   24.2001, 2.05e+05,    0.000, 1.000,-4.01e+05  4.01e+05
race_B   ,   25.3137, 2.05e+05,    0.000, 1.000,-4.01e+05  4.01e+05
race_I   ,  -14.3070, 1.35e+08,-1.06e-07, 1.000,-2.65e+08  2.65e+08
race_P   ,   24.9803, 2.05e+05,    0.000, 1.000,-4.01e+05  4.01e+05
race_Q   ,   25.1305, 2.05e+05,    0.000, 1.000,-4.01e+05  4.01e+05
race_U   ,   59.5389, 4.75e+07, 1.25e-06, 1.000, -9.3e+07   9.3e+07
race_W   ,   24.7933, 2.05e+05,    0.000, 1.000,-4.01e+05  4.01e+05
sex_0    ,   -2.0448,    0.378,   -5.412, 0.000,   -2.785    -1.304
intercept,  -25.2232, 2.05e+05,   -0.000, 1.000,-4.01e+05  4.01e+05
