                    Logit Regression Results                   
Dep. Variable:,frisked         ,  No. Observations:  ,  1452   
Model:        ,Logit           ,  Df Residuals:      ,  1432   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.1727   
Time:         ,14:01:19        ,  Log-Likelihood:    , -520.81 
converged:    ,False           ,  LL-Null:           , -629.51 
              ,                ,  LLR p-value:       ,1.150e-35
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,    0.2308,    0.198,    1.165, 0.244,   -0.158     0.619
cs_objcs ,   -0.5903,    0.465,   -1.269, 0.204,   -1.502     0.321
cs_descr ,    0.1892,    0.219,    0.865, 0.387,   -0.240     0.618
cs_casng ,    0.3833,    0.263,    1.459, 0.145,   -0.132     0.898
cs_lkout ,    0.0284,    0.325,    0.087, 0.930,   -0.608     0.665
cs_cloth ,    0.5529,    0.489,    1.130, 0.258,   -0.406     1.512
cs_drgtr ,    0.3774,    0.278,    1.355, 0.175,   -0.168     0.923
cs_furtv ,    1.7708,    0.199,    8.910, 0.000,    1.381     2.160
cs_vcrim ,    0.7396,    0.260,    2.842, 0.004,    0.230     1.250
cs_bulge ,    1.0769,    0.429,    2.509, 0.012,    0.235     1.918
cs_other ,    0.0828,    0.219,    0.378, 0.705,   -0.346     0.512
race_A   ,    0.3657,    0.893,    0.410, 0.682,   -1.384     2.116
race_B   ,    0.7952,    0.376,    2.113, 0.035,    0.058     1.533
race_I   ,   26.4561, 1.71e+06, 1.54e-05, 1.000,-3.36e+06  3.36e+06
race_P   ,    0.8104,    0.617,    1.314, 0.189,   -0.399     2.019
race_Q   ,    0.3980,    0.435,    0.914, 0.361,   -0.455     1.251
race_U   ,   -1.8163,    1.327,   -1.369, 0.171,   -4.418     0.785
race_W   ,    0.0859,    0.565,    0.152, 0.879,   -1.022     1.194
sex_0    ,   -1.2687,    0.310,   -4.088, 0.000,   -1.877    -0.660
intercept,   -0.1337,    0.408,   -0.328, 0.743,   -0.933     0.666
