                    Logit Regression Results                   
Dep. Variable:,searched        ,  No. Observations:  ,  1708   
Model:        ,Logit           ,  Df Residuals:      ,  1689   
Method:       ,MLE             ,  Df Model:          ,    18   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.1365   
Time:         ,14:01:36        ,  Log-Likelihood:    , -637.96 
converged:    ,True            ,  LL-Null:           , -738.77 
              ,                ,  LLR p-value:       ,4.743e-33
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,    0.4058,    0.806,    0.504, 0.615,   -1.174     1.985
cs_objcs ,    0.3038,    0.429,    0.708, 0.479,   -0.537     1.144
cs_descr ,    0.7493,    0.214,    3.506, 0.000,    0.330     1.168
cs_casng ,   -0.4037,    0.193,   -2.087, 0.037,   -0.783    -0.025
cs_lkout ,    0.1360,    0.221,    0.616, 0.538,   -0.297     0.569
cs_cloth ,   -0.6150,    0.336,   -1.830, 0.067,   -1.274     0.044
cs_drgtr ,    0.7117,    0.303,    2.351, 0.019,    0.118     1.305
cs_furtv ,    1.1386,    0.151,    7.516, 0.000,    0.842     1.435
cs_vcrim ,   -0.8522,    0.236,   -3.606, 0.000,   -1.315    -0.389
cs_bulge ,    2.1532,    0.250,    8.609, 0.000,    1.663     2.643
cs_other ,    0.3174,    0.174,    1.821, 0.069,   -0.024     0.659
race_A   ,   -0.2841, 7.82e+06,-3.63e-08, 1.000,-1.53e+07  1.53e+07
race_B   ,   -0.4756, 7.82e+06,-6.08e-08, 1.000,-1.53e+07  1.53e+07
race_I   ,   -0.7455, 7.82e+06,-9.54e-08, 1.000,-1.53e+07  1.53e+07
race_P   ,    0.6237, 7.82e+06, 7.98e-08, 1.000,-1.53e+07  1.53e+07
race_Q   ,    0.1174, 7.82e+06,  1.5e-08, 1.000,-1.53e+07  1.53e+07
race_U   ,   -1.0384, 7.82e+06,-1.33e-07, 1.000,-1.53e+07  1.53e+07
race_W   ,   -0.1954, 7.82e+06, -2.5e-08, 1.000,-1.53e+07  1.53e+07
sex_0    ,   -1.0025,    0.570,   -1.758, 0.079,   -2.120     0.115
intercept,   -1.9979, 7.82e+06,-2.56e-07, 1.000,-1.53e+07  1.53e+07
