                    Logit Regression Results                   
Dep. Variable:,searched        ,  No. Observations:  ,  1018   
Model:        ,Logit           ,  Df Residuals:      ,   998   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.1183   
Time:         ,14:01:34        ,  Log-Likelihood:    , -367.42 
converged:    ,False           ,  LL-Null:           , -416.73 
              ,                ,  LLR p-value:       ,9.508e-13
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,    0.8133,    0.327,    2.484, 0.013,    0.172     1.455
cs_objcs ,    0.4519,    0.439,    1.030, 0.303,   -0.408     1.312
cs_descr ,    0.2551,    0.230,    1.111, 0.267,   -0.195     0.705
cs_casng ,   -0.6143,    0.272,   -2.258, 0.024,   -1.147    -0.081
cs_lkout ,   -0.8094,    0.425,   -1.905, 0.057,   -1.642     0.023
cs_cloth ,    1.9512,    0.431,    4.525, 0.000,    1.106     2.796
cs_drgtr ,    0.2713,    0.522,    0.520, 0.603,   -0.751     1.294
cs_furtv ,    0.0686,    0.225,    0.306, 0.760,   -0.371     0.509
cs_vcrim ,    0.3641,    0.261,    1.397, 0.162,   -0.147     0.875
cs_bulge ,    2.1326,    0.362,    5.887, 0.000,    1.423     2.843
cs_other ,    0.0985,    0.230,    0.428, 0.669,   -0.353     0.550
race_A   ,   -0.2642,    1.006,   -0.263, 0.793,   -2.236     1.708
race_B   ,   -0.9684,    0.971,   -0.997, 0.319,   -2.872     0.935
race_I   ,  -33.0115, 1.13e+07,-2.92e-06, 1.000,-2.22e+07  2.22e+07
race_P   ,   -0.3508,    1.041,   -0.337, 0.736,   -2.390     1.689
race_Q   ,   -0.6646,    0.973,   -0.683, 0.495,   -2.573     1.243
race_U   ,   -1.9032,    1.428,   -1.333, 0.183,   -4.702     0.895
race_W   ,   -0.2803,    0.984,   -0.285, 0.776,   -2.208     1.648
sex_0    ,   -0.2510,    0.472,   -0.532, 0.594,   -1.175     0.673
intercept,   -1.4203,    0.978,   -1.452, 0.147,   -3.338     0.497
