                    Logit Regression Results                   
Dep. Variable:,searched        ,  No. Observations:  ,   557   
Model:        ,Logit           ,  Df Residuals:      ,   538   
Method:       ,MLE             ,  Df Model:          ,    18   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.07988  
Time:         ,14:01:30        ,  Log-Likelihood:    , -267.06 
converged:    ,False           ,  LL-Null:           , -290.24 
              ,                ,  LLR p-value:       ,0.0002622
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,   -0.4654,    0.369,   -1.261, 0.207,   -1.189     0.258
cs_objcs ,    0.7370,    0.366,    2.016, 0.044,    0.020     1.454
cs_descr ,   -0.0794,    0.291,   -0.273, 0.785,   -0.651     0.492
cs_casng ,   -0.5805,    0.337,   -1.720, 0.085,   -1.242     0.081
cs_lkout ,   -0.5590,    0.539,   -1.036, 0.300,   -1.616     0.498
cs_cloth ,   -1.4221,    1.120,   -1.270, 0.204,   -3.617     0.773
cs_drgtr ,    0.9818,    0.545,    1.803, 0.071,   -0.086     2.049
cs_furtv ,    0.2098,    0.324,    0.647, 0.518,   -0.426     0.845
cs_vcrim ,   -2.1073,    1.034,   -2.038, 0.042,   -4.134    -0.081
cs_bulge ,    1.0793,    0.405,    2.667, 0.008,    0.286     1.872
cs_other ,    0.0283,    0.276,    0.102, 0.918,   -0.513     0.569
race_A   ,    5.2025, 2.11e+07, 2.46e-07, 1.000,-4.15e+07  4.15e+07
race_B   ,    6.4167, 2.11e+07, 3.03e-07, 1.000,-4.15e+07  4.15e+07
race_I   ,  -19.7600, 2.12e+07,-9.34e-07, 1.000,-4.15e+07  4.15e+07
race_P   ,    6.5637, 2.11e+07,  3.1e-07, 1.000,-4.15e+07  4.15e+07
race_Q   ,    6.6132, 2.11e+07, 3.13e-07, 1.000,-4.15e+07  4.15e+07
race_U   ,  -18.9254, 2.12e+07,-8.94e-07, 1.000,-4.15e+07  4.15e+07
race_W   ,    6.3094, 2.11e+07, 2.98e-07, 1.000,-4.15e+07  4.15e+07
sex_0    ,   -0.7418,    0.472,   -1.571, 0.116,   -1.667     0.183
intercept,   -7.5799, 2.11e+07,-3.58e-07, 1.000,-4.15e+07  4.15e+07
