                    Logit Regression Results                   
Dep. Variable:,searched        ,  No. Observations:  ,   719   
Model:        ,Logit           ,  Df Residuals:      ,   699   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.09609  
Time:         ,14:01:32        ,  Log-Likelihood:    , -367.68 
converged:    ,False           ,  LL-Null:           , -406.77 
              ,                ,  LLR p-value:       ,3.826e-09
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,   -0.3947,    0.286,   -1.379, 0.168,   -0.956     0.166
cs_objcs ,    0.4000,    0.545,    0.733, 0.463,   -0.669     1.469
cs_descr ,   -0.6195,    0.240,   -2.581, 0.010,   -1.090    -0.149
cs_casng ,   -0.6887,    0.385,   -1.790, 0.074,   -1.443     0.066
cs_lkout ,   -1.0211,    0.643,   -1.587, 0.112,   -2.282     0.240
cs_cloth ,   -1.5502,    0.656,   -2.362, 0.018,   -2.837    -0.264
cs_drgtr ,    0.6167,    0.352,    1.754, 0.079,   -0.073     1.306
cs_furtv ,   -0.4766,    0.210,   -2.271, 0.023,   -0.888    -0.065
cs_vcrim ,    0.6290,    0.346,    1.818, 0.069,   -0.049     1.307
cs_bulge ,   -0.0535,    0.422,   -0.127, 0.899,   -0.881     0.774
cs_other ,    0.5774,    0.226,    2.551, 0.011,    0.134     1.021
race_A   ,  -30.8302, 3.86e+06,-7.99e-06, 1.000,-7.56e+06  7.56e+06
race_B   ,   -0.1942,    0.409,   -0.475, 0.635,   -0.996     0.607
race_I   ,  -23.8385, 7.15e+05,-3.33e-05, 1.000, -1.4e+06   1.4e+06
race_P   ,   -0.2840,    0.520,   -0.547, 0.585,   -1.302     0.734
race_Q   ,    0.2768,    0.417,    0.663, 0.507,   -0.541     1.095
race_U   ,  -30.3464, 5.53e+06,-5.48e-06, 1.000,-1.08e+07  1.08e+07
race_W   ,   -0.1311,    0.576,   -0.228, 0.820,   -1.260     0.997
sex_0    ,   -0.6217,    0.338,   -1.838, 0.066,   -1.285     0.041
intercept,   -0.7924,    0.453,   -1.747, 0.081,   -1.681     0.096
