                   Logit Regression Results                   
Dep. Variable:,searched        ,  No. Observations:  ,   190  
Model:        ,Logit           ,  Df Residuals:      ,   170  
Method:       ,MLE             ,  Df Model:          ,    19  
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.2079  
Time:         ,14:01:22        ,  Log-Likelihood:    , -76.397
converged:    ,False           ,  LL-Null:           , -96.446
              ,                ,  LLR p-value:       ,0.003176
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,   -2.1835,    0.838,   -2.607, 0.009,   -3.825    -0.542
cs_objcs ,  -88.3140, 1.21e+19,-7.32e-18, 1.000,-2.37e+19  2.37e+19
cs_descr ,   -1.5084,    0.668,   -2.259, 0.024,   -2.817    -0.200
cs_casng ,   -0.5259,    0.624,   -0.843, 0.399,   -1.748     0.697
cs_lkout ,   -0.7797,    0.697,   -1.119, 0.263,   -2.146     0.586
cs_cloth ,   -1.1641,    1.209,   -0.963, 0.336,   -3.533     1.205
cs_drgtr ,    1.1003,    0.683,    1.610, 0.107,   -0.239     2.440
cs_furtv ,   -0.0179,    0.498,   -0.036, 0.971,   -0.995     0.959
cs_vcrim ,    0.2170,    0.719,    0.302, 0.763,   -1.192     1.626
cs_bulge ,    0.5299,    0.980,    0.540, 0.589,   -1.392     2.451
cs_other ,    0.0350,    0.568,    0.062, 0.951,   -1.079     1.149
race_A   ,  -25.7015, 2.78e+05,-9.23e-05, 1.000,-5.46e+05  5.46e+05
race_B   ,   -1.4709,    1.038,   -1.417, 0.156,   -3.505     0.563
race_I   ,  -25.7015, 2.78e+05,-9.23e-05, 1.000,-5.46e+05  5.46e+05
race_P   ,    0.7261,    1.174,    0.618, 0.536,   -1.575     3.028
race_Q   ,   -1.0832,    1.132,   -0.957, 0.338,   -3.301     1.135
race_U   ,   -0.8224,    1.640,   -0.501, 0.616,   -4.037     2.392
race_W   ,   -2.4054,    1.544,   -1.558, 0.119,   -5.432     0.621
sex_0    ,    0.1148,    0.624,    0.184, 0.854,   -1.108     1.338
intercept,    0.4779,    1.138,    0.420, 0.674,   -1.752     2.708
