                    Logit Regression Results                   
Dep. Variable:,searched        ,  No. Observations:  ,  1330   
Model:        ,Logit           ,  Df Residuals:      ,  1310   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.07760  
Time:         ,14:01:35        ,  Log-Likelihood:    , -600.89 
converged:    ,False           ,  LL-Null:           , -651.44 
              ,                ,  LLR p-value:       ,3.387e-13
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,   -0.2524,    0.176,   -1.433, 0.152,   -0.598     0.093
cs_objcs ,    1.2584,    0.415,    3.029, 0.002,    0.444     2.073
cs_descr ,    0.2504,    0.202,    1.237, 0.216,   -0.146     0.647
cs_casng ,    0.0765,    0.227,    0.337, 0.736,   -0.368     0.521
cs_lkout ,   -1.0294,    0.368,   -2.795, 0.005,   -1.751    -0.308
cs_cloth ,   -1.1558,    0.336,   -3.440, 0.001,   -1.814    -0.497
cs_drgtr ,   -0.1934,    0.429,   -0.451, 0.652,   -1.033     0.646
cs_furtv ,   -0.0659,    0.179,   -0.368, 0.713,   -0.417     0.285
cs_vcrim ,    0.1574,    0.244,    0.644, 0.519,   -0.321     0.636
cs_bulge ,    1.2099,    0.173,    6.990, 0.000,    0.871     1.549
cs_other ,   -0.1623,    0.221,   -0.735, 0.463,   -0.595     0.271
race_A   ,   -6.1006, 1.44e+06,-4.24e-06, 1.000,-2.82e+06  2.82e+06
race_B   ,   21.2284, 7.02e+04,    0.000, 1.000,-1.38e+05  1.38e+05
race_I   ,   -4.6107, 8.43e+05,-5.47e-06, 1.000,-1.65e+06  1.65e+06
race_P   ,   21.2943, 7.02e+04,    0.000, 1.000,-1.38e+05  1.38e+05
race_Q   ,   21.5811, 7.02e+04,    0.000, 1.000,-1.38e+05  1.38e+05
race_U   ,   -6.2428, 1.62e+06,-3.85e-06, 1.000,-3.17e+06  3.17e+06
race_W   ,   20.7875, 7.02e+04,    0.000, 1.000,-1.38e+05  1.38e+05
sex_0    ,    0.3628,    0.331,    1.097, 0.273,   -0.285     1.011
intercept,  -22.9752, 7.02e+04,   -0.000, 1.000,-1.38e+05  1.38e+05
