                   Logit Regression Results                   
Dep. Variable:,searched        ,  No. Observations:  ,   362  
Model:        ,Logit           ,  Df Residuals:      ,   342  
Method:       ,MLE             ,  Df Model:          ,    19  
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.06400 
Time:         ,14:01:27        ,  Log-Likelihood:    , -208.85
converged:    ,False           ,  LL-Null:           , -223.13
              ,                ,  LLR p-value:       ,0.07321 
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,    0.2659,    0.283,    0.940, 0.347,   -0.288     0.820
cs_objcs ,    1.7474,    0.744,    2.348, 0.019,    0.289     3.206
cs_descr ,   -0.0603,    0.326,   -0.185, 0.853,   -0.698     0.578
cs_casng ,    0.0520,    0.450,    0.116, 0.908,   -0.830     0.934
cs_lkout ,    0.0164,    0.542,    0.030, 0.976,   -1.046     1.078
cs_cloth ,    1.3850,    0.637,    2.173, 0.030,    0.136     2.634
cs_drgtr ,   -0.1425,    0.463,   -0.308, 0.758,   -1.050     0.765
cs_furtv ,    0.3663,    0.292,    1.256, 0.209,   -0.205     0.938
cs_vcrim ,    0.7083,    0.575,    1.231, 0.218,   -0.420     1.836
cs_bulge ,    0.4287,    0.462,    0.928, 0.353,   -0.477     1.334
cs_other ,   -0.1929,    0.309,   -0.623, 0.533,   -0.799     0.414
race_A   ,   -0.3235,    1.457,   -0.222, 0.824,   -3.180     2.533
race_B   ,   -0.4166,    0.889,   -0.468, 0.639,   -2.160     1.326
race_I   ,  -29.1364,  2.4e+06,-1.22e-05, 1.000, -4.7e+06   4.7e+06
race_P   ,   -0.8519,    1.023,   -0.833, 0.405,   -2.856     1.153
race_Q   ,   -0.1798,    0.923,   -0.195, 0.846,   -1.990     1.630
race_U   ,   -0.8429,    1.502,   -0.561, 0.575,   -3.787     2.101
race_W   ,    2.1600,    1.409,    1.533, 0.125,   -0.602     4.922
sex_0    ,    0.5561,    0.461,    1.207, 0.228,   -0.347     1.459
intercept,   -0.7686,    0.914,   -0.841, 0.400,   -2.560     1.023
