                   Logit Regression Results                   
Dep. Variable:,searched        ,  No. Observations:  ,   536  
Model:        ,Logit           ,  Df Residuals:      ,   516  
Method:       ,MLE             ,  Df Model:          ,    19  
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.07468 
Time:         ,14:01:30        ,  Log-Likelihood:    , -246.64
converged:    ,False           ,  LL-Null:           , -266.54
              ,                ,  LLR p-value:       ,0.003465
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,    0.1070,    0.279,    0.384, 0.701,   -0.439     0.653
cs_objcs ,    0.3317,    0.869,    0.382, 0.703,   -1.371     2.034
cs_descr ,   -0.0784,    0.273,   -0.287, 0.774,   -0.614     0.457
cs_casng ,   -1.2581,    0.626,   -2.009, 0.045,   -2.486    -0.031
cs_lkout ,   -1.4437,    0.765,   -1.886, 0.059,   -2.944     0.056
cs_cloth ,   -1.0055,    1.059,   -0.949, 0.342,   -3.081     1.070
cs_drgtr ,    0.9323,    0.442,    2.111, 0.035,    0.067     1.798
cs_furtv ,    0.4035,    0.247,    1.632, 0.103,   -0.081     0.888
cs_vcrim ,   -0.9086,    0.462,   -1.969, 0.049,   -1.813    -0.004
cs_bulge ,    0.0393,    0.284,    0.138, 0.890,   -0.518     0.596
cs_other ,   -0.0663,    0.310,   -0.214, 0.831,   -0.675     0.542
race_A   ,    0.8604,    1.304,    0.660, 0.509,   -1.696     3.417
race_B   ,   -0.0653,    0.504,   -0.129, 0.897,   -1.054     0.923
race_I   ,   31.8493, 4.58e+06, 6.96e-06, 1.000,-8.97e+06  8.97e+06
race_P   ,    0.1544,    0.513,    0.301, 0.763,   -0.850     1.159
race_Q   ,    0.2695,    0.494,    0.546, 0.585,   -0.698     1.237
race_U   ,  -64.9683, 1.21e+14,-5.38e-13, 1.000,-2.37e+14  2.37e+14
race_W   ,    1.2382,    0.816,    1.517, 0.129,   -0.362     2.839
sex_0    ,    0.2552,    0.693,    0.368, 0.713,   -1.102     1.613
intercept,   -1.5155,    0.511,   -2.968, 0.003,   -2.516    -0.515
