                   Logit Regression Results                   
Dep. Variable:,searched        ,  No. Observations:  ,   196  
Model:        ,Logit           ,  Df Residuals:      ,   177  
Method:       ,MLE             ,  Df Model:          ,    18  
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.09978 
Time:         ,14:01:22        ,  Log-Likelihood:    , -49.888
converged:    ,False           ,  LL-Null:           , -55.417
              ,                ,  LLR p-value:       ,0.8919  
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,   -0.9148,    0.802,   -1.141, 0.254,   -2.487     0.657
cs_objcs ,  -24.9858, 5.01e+05,-4.99e-05, 1.000,-9.81e+05  9.81e+05
cs_descr ,    0.4502,    0.637,    0.707, 0.480,   -0.798     1.698
cs_casng ,   -0.9673,    0.862,   -1.122, 0.262,   -2.656     0.722
cs_lkout ,    0.8394,    0.790,    1.062, 0.288,   -0.710     2.388
cs_cloth ,    2.4157,    1.744,    1.385, 0.166,   -1.003     5.835
cs_drgtr ,   -0.3251,    1.270,   -0.256, 0.798,   -2.814     2.164
cs_furtv ,    0.1558,    0.664,    0.235, 0.814,   -1.146     1.457
cs_vcrim ,    0.2288,    0.980,    0.233, 0.815,   -1.693     2.151
cs_bulge ,    0.8397,    1.211,    0.693, 0.488,   -1.534     3.213
cs_other ,    0.3307,    0.707,    0.468, 0.640,   -1.056     1.717
race_A   ,    7.4769, 1.95e+07, 3.83e-07, 1.000,-3.82e+07  3.82e+07
race_B   ,    7.6598, 1.95e+07, 3.93e-07, 1.000,-3.82e+07  3.82e+07
race_I   ,  -17.1332, 1.95e+07,-8.78e-07, 1.000,-3.83e+07  3.83e+07
race_P   ,  -33.2154, 2.07e+09,-1.61e-08, 1.000,-4.05e+09  4.05e+09
race_Q   ,    8.0869, 1.95e+07, 4.15e-07, 1.000,-3.82e+07  3.82e+07
race_U   ,    9.4787, 1.95e+07, 4.86e-07, 1.000,-3.82e+07  3.82e+07
race_W   ,    7.4163, 1.95e+07,  3.8e-07, 1.000,-3.82e+07  3.82e+07
sex_0    ,   -0.6145,    1.148,   -0.535, 0.592,   -2.864     1.635
intercept,  -10.2300, 1.95e+07,-5.25e-07, 1.000,-3.82e+07  3.82e+07
