                    Logit Regression Results                   
Dep. Variable:,searched        ,  No. Observations:  ,   546   
Model:        ,Logit           ,  Df Residuals:      ,   526   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.1253   
Time:         ,14:01:30        ,  Log-Likelihood:    , -181.22 
converged:    ,True            ,  LL-Null:           , -207.17 
              ,                ,  LLR p-value:       ,6.837e-05
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,   -1.2043,    0.485,   -2.482, 0.013,   -2.155    -0.253
cs_objcs ,    1.4325,    0.658,    2.176, 0.030,    0.142     2.723
cs_descr ,    0.8866,    0.314,    2.821, 0.005,    0.271     1.503
cs_casng ,   -0.4074,    0.477,   -0.855, 0.393,   -1.342     0.527
cs_lkout ,    0.0912,    0.546,    0.167, 0.867,   -0.979     1.161
cs_cloth ,    0.3875,    0.646,    0.600, 0.548,   -0.878     1.653
cs_drgtr ,   -0.5199,    0.685,   -0.759, 0.448,   -1.863     0.823
cs_furtv ,   -0.1666,    0.324,   -0.514, 0.607,   -0.802     0.468
cs_vcrim ,    0.0089,    0.499,    0.018, 0.986,   -0.968     0.986
cs_bulge ,    1.6060,    0.470,    3.417, 0.001,    0.685     2.527
cs_other ,    0.6579,    0.305,    2.156, 0.031,    0.060     1.256
race_A   ,   68.1615, 2.02e+07, 3.37e-06, 1.000,-3.96e+07  3.96e+07
race_B   ,   64.7634, 2.02e+07, 3.21e-06, 1.000,-3.96e+07  3.96e+07
race_I   , -265.9153, 9.21e+72,-2.89e-71, 1.000,-1.81e+73  1.81e+73
race_P   ,   66.4269, 2.02e+07, 3.29e-06, 1.000,-3.96e+07  3.96e+07
race_Q   ,   66.1433, 2.02e+07, 3.27e-06, 1.000,-3.96e+07  3.96e+07
race_U   ,   -4.3372, 7.81e+14,-5.55e-15, 1.000,-1.53e+15  1.53e+15
race_W   ,   65.1287, 2.02e+07, 3.22e-06, 1.000,-3.96e+07  3.96e+07
sex_0    ,   -2.1150,    1.113,   -1.900, 0.057,   -4.297     0.067
intercept,  -67.2986, 2.02e+07,-3.33e-06, 1.000,-3.96e+07  3.96e+07
