                    Logit Regression Results                   
Dep. Variable:,searched        ,  No. Observations:  ,  1452   
Model:        ,Logit           ,  Df Residuals:      ,  1432   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.1080   
Time:         ,14:01:36        ,  Log-Likelihood:    , -514.22 
converged:    ,False           ,  LL-Null:           , -576.49 
              ,                ,  LLR p-value:       ,1.563e-17
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,   -0.2713,    0.212,   -1.280, 0.201,   -0.687     0.144
cs_objcs ,    0.8209,    0.499,    1.646, 0.100,   -0.157     1.799
cs_descr ,    0.3290,    0.228,    1.444, 0.149,   -0.117     0.775
cs_casng ,   -0.0335,    0.266,   -0.126, 0.900,   -0.554     0.487
cs_lkout ,    0.1060,    0.317,    0.334, 0.739,   -0.516     0.728
cs_cloth ,    0.4568,    0.312,    1.466, 0.143,   -0.154     1.067
cs_drgtr ,    1.8509,    0.209,    8.836, 0.000,    1.440     2.261
cs_furtv ,    0.3474,    0.194,    1.790, 0.074,   -0.033     0.728
cs_vcrim ,   -0.5239,    0.241,   -2.172, 0.030,   -0.997    -0.051
cs_bulge ,    0.9304,    0.278,    3.345, 0.001,    0.385     1.475
cs_other ,    0.7882,    0.217,    3.639, 0.000,    0.364     1.213
race_A   ,    1.2206,    0.901,    1.355, 0.175,   -0.545     2.986
race_B   ,    0.3367,    0.548,    0.614, 0.539,   -0.738     1.411
race_I   ,  -25.6716, 1.71e+06, -1.5e-05, 1.000,-3.36e+06  3.36e+06
race_P   ,    0.3280,    0.754,    0.435, 0.663,   -1.149     1.805
race_Q   ,    0.6369,    0.604,    1.055, 0.292,   -0.547     1.821
race_U   ,    1.6312,    1.288,    1.267, 0.205,   -0.893     4.155
race_W   ,    0.0553,    0.841,    0.066, 0.948,   -1.593     1.703
sex_0    ,    0.1058,    0.391,    0.271, 0.786,   -0.660     0.871
intercept,   -3.0781,    0.568,   -5.420, 0.000,   -4.191    -1.965
