                    Logit Regression Results                   
Dep. Variable:,searched        ,  No. Observations:  ,   594   
Model:        ,Logit           ,  Df Residuals:      ,   574   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.1605   
Time:         ,14:01:30        ,  Log-Likelihood:    , -338.53 
converged:    ,False           ,  LL-Null:           , -403.27 
              ,                ,  LLR p-value:       ,1.821e-18
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,   -1.1561,    0.317,   -3.643, 0.000,   -1.778    -0.534
cs_objcs ,    0.5822,    0.367,    1.588, 0.112,   -0.136     1.301
cs_descr ,   -0.7671,    0.257,   -2.990, 0.003,   -1.270    -0.264
cs_casng ,    0.4943,    0.302,    1.638, 0.101,   -0.097     1.086
cs_lkout ,   -1.7386,    0.444,   -3.920, 0.000,   -2.608    -0.869
cs_cloth ,   -0.4941,    0.567,   -0.872, 0.383,   -1.605     0.617
cs_drgtr ,    0.8223,    0.273,    3.012, 0.003,    0.287     1.357
cs_furtv ,    0.5746,    0.224,    2.564, 0.010,    0.135     1.014
cs_vcrim ,    0.9118,    0.432,    2.111, 0.035,    0.065     1.758
cs_bulge ,    1.0039,    0.562,    1.786, 0.074,   -0.098     2.105
cs_other ,    1.1650,    0.223,    5.229, 0.000,    0.728     1.602
race_A   ,    0.4576,    0.744,    0.615, 0.538,   -1.000     1.915
race_B   ,    0.5946,    0.567,    1.048, 0.294,   -0.517     1.706
race_I   ,  -21.4334, 7.93e+04,   -0.000, 1.000,-1.56e+05  1.55e+05
race_P   ,    1.0196,    0.631,    1.617, 0.106,   -0.216     2.256
race_Q   ,    0.6124,    0.569,    1.077, 0.281,   -0.502     1.727
race_U   ,    0.5004,    0.920,    0.544, 0.587,   -1.304     2.304
race_W   ,    1.2716,    0.592,    2.148, 0.032,    0.111     2.432
sex_0    ,   -0.4067,    0.353,   -1.152, 0.249,   -1.099     0.285
intercept,   -1.6237,    0.589,   -2.756, 0.006,   -2.778    -0.469
